Question,Answer,Feedback
I am on maternity leave. How can it impact my academics?,"Women can avail a maternity leave as per Institute policy in case of maternity during the programme, in addition to the above. A registration fee needs to be paid for the break semesters to keep the registration alive. They can complete the couse in 5 years if maternity leave is availed",Yes
Help me find a project mentor. I am interested in subjects related to AI,"Professors working in AI-related areas include those focused on Machine Learning, Deep Learning, Natural Language Processing, and related subfields. Some examples are Ambedkar Dukkipati (NLP), Vinay Namboodiri (Explainable AI), and Chiranjib Bhattacharyya (Machine Learning).",Yes
Who is the instructor for the course 'Applied Reinforcement Learning'?,Sreekanth Annapureddy,Yes
What is the number of credits for the course 'Time Series Analysis'?,2,Yes
Which courses are offered in the AI stream during Summer 2025?,Applied Reinforcement Learning; Graph Neural Networks; Generative AI; Time Series Analysis; AI for Robotics,Yes
What topics of expertise does Prof. Ambedkar Dukkipati have?,Natural language processing with knowledge graphs,Yes
How many students are assigned to Prof. Ambedkar Dukkipati?,3,Yes
What is the deadline to drop a course in the Summer 2025 term?,"The deadline to drop a course is June 5, 2025.",Yes
When is the summer break or semester end vacation scheduled?,"The semester ends on August 2, 2025, followed by a short break.",Yes
How to choose a faculty mentor for summer term projects?,You can select a mentor based on your area of interest. Contact details and project domains are provided in the Faculty Mentor List.,Yes
Which professors are working in the AI domain and how can I contact them?,"The following professors are involved in AI-related projects:

1. **Prof. Ambedkar Dukkipati** (CSA)
   - Email: ambedkar@iisc.ac.in
   - Website: https://www.csa.iisc.ac.in/~ambedkar/

2. **Prof. Chiranjib Bhattacharyya** (CSA)
   - Email: chiru@iisc.ac.in
   - Website: https://cds.iisc.ac.in/faculty/chiranjib/

3. **Prof. R Venkatesh Babu** (EECS)
   - Email: venky@iisc.ac.in
   - Website: https://vision.cps.iisc.ac.in/

All of them are mentoring projects in AI subdomains like deep learning, computer vision, and NLP.",Yes
What is the minimum CGPA required to remain enrolled in the M.Tech (Online) program?,Students must maintain a minimum CGPA of 5.0 to continue in the program.,Yes
How many F grades are allowed during the entire program?,Only two F grades are permitted during the program.,Yes
Can I drop a course mid-semester?,"Yes, but dropping a course requires approval from the course instructor and faculty mentor and must adhere to the timeline specified in the handbook.",Yes
Is attendance mandatory for terminal examinations?,"Yes, attendance for terminal examinations is compulsory. Absence may result in an F grade.",Yes
What is the structure of the M.Tech (Online) program in terms of credit requirements?,"The program includes 12 credits of core courses, 20 credits of electives, and 32 credits for the project.",Yes
When can a student begin working on their project?,Students may begin the project only after completing all core course credits.,Yes
Can M.Tech (Online) students transfer to a PhD program?,"No, transfers or upgrades to a PhD program are not permitted during the M.Tech (Online) program.",Yes
Who retains intellectual property rights for project work?,"IPR typically belongs to the sponsoring company unless guidance from IISc faculty is involved, in which case an IPR agreement must be signed.",Yes
What are the conditions for project evaluation?,"Project evaluation is conducted by a faculty mentor based on milestones, deliverables, and periodic reviews. Company guides may also be involved.",Yes
What happens if a student does not meet the academic performance criteria in the first term?,Students with a TGPA below 4.0 in the first term are subject to academic probation or discontinuation as outlined in the handbook.,Yes
What is the role of the company guide and faculty mentor in project evaluation?,The company guide oversees internal progress while the faculty mentor ensures academic rigor and conducts evaluations.,Yes
Who is the instructor for the course 'Reinforcement Learning' and what are the prerequisites?,Prof. N. Viswanadham teaches Reinforcement Learning with prerequisites in probability and linear algebra.,Yes
List the elective courses shared between AI and DSBA programs.,"Elective courses common to AI and DSBA include Data Mining, Reinforcement Learning, and Causal Inference.",Yes
What is the evaluation scheme for the course 'Deep Learning for Visual Analytics'?,"Deep Learning for Visual Analytics is evaluated through assignments, midterm, and a final project.",Yes
What are the core courses for the 2025 batch in the AI M.Tech (Online) program?,"Core courses (16 credits) for the 2025 batch include: Random Processes (3:1), Linear Algebra (3:1), Linear and Non-linear Optimization (3:1), Machine Learning (3:1).",Yes
How is the capstone project structured for AI students in the 2025 batch?,"The capstone project for 2025 is 28 credits over three terms: 4 credits in Term 1 for topic identification, 12 in Term 2 with midterm evaluation, and 12 in Term 3 for final evaluation. The project is jointly guided by a company mentor and an IISc faculty mentor.",Yes
What are some example electives in the AI M.Tech (Online) program?,"Sample electives include: Data Analytics, Reinforcement Learning, Deep Generative Models, Data Structures and Graph Analytics, Cryptography, Deep Learning for Robotics, and Edge and Cloud Systems for ML.",Yes
What’s the difference in project credits between 2023 and 2025 batches?,"The 2025 batch has 28 project credits, while the 2023 batch has 27. In 2025, 4 credits are in Term 1, whereas in 2023, it’s 3 credits.",Yes
Who provides project guidance in the AI M.Tech (Online) program?,Project guidance is provided by an in-house company Guide and an IISc faculty mentor. The mentor approves goals and leads evaluations; the company Guide provides close day-to-day support.,Yes
When can a student begin the project work in the ECE M.Tech (Online) program?,Students can begin the second term of the project only after completing all prior courses in earlier semesters.,Yes
What kind of professionals is the ECE M.Tech (Online) program designed for?,It is designed for early-career professionals with 2–10 years of experience to strengthen fundamentals and learn cutting-edge topics.,Yes
Which department offers the ECE M.Tech (Online) courses?,The courses are offered online by the faculty from the Department of ECE at IISc.,Yes
How many total core course credits are there for the August 2022 batch in ECE?,There are 15 core course credits for the August 2022 batch.,Yes
What evaluation components are included in the ECE project structure?,The project includes a midterm evaluation after the first term and a final evaluation after the second term.,Yes
How many credits are required for the capstone project in the DSBA M.Tech (Online) program?,The capstone project carries 32 credits.,Yes
When can DSBA students begin their project work?,Students can begin the three-term project after successfully completing all core courses.,Yes
Which departments offer courses in the DSBA M.Tech (Online) program?,"Courses are offered by faculty from the Departments of Computational and Data Sciences, Management Studies, CiSTUP, and RBCCPS.",Yes
What are the core courses for the 2024 batch in the DSBA program?,"The core courses are Data Science in Practice, Data Engineering at Scale, and Probabilistic Machine Learning: Theory and Applications.",Yes
Are DSBA students allowed to take electives from other streams?,"Yes, students may take courses from any of the three streams as electives.",Yes
What is the credit structure of the DSBA project phases?,"Students complete 20 project credits over two terms followed by a midterm evaluation, and 12 project credits in the final term.",Yes
Can a project be completed by a group of students?,The project must be done individually.,Yes
How many students can one internal guide supervise?,One internal guide can supervise at most 6 students.,Yes
What is required if a student cannot find a faculty mentor despite effort?,"Students may contact PCC with proof of outreach, project plan, and guide details.",Yes
Who decides what constitutes an acceptable project thesis?,The faculty mentor advises on what constitutes a good and acceptable thesis.,Yes
What is needed before a faculty mentor can provide technical guidance with IP implications?,An IPR agreement should be negotiated before the project begins.,Yes
What happens if a faculty mentor is on sabbatical?,A new faculty mentor may be appointed with PCC approval.,Yes
When must the project proposal be submitted?,The project proposal must be submitted before the drop without mention date of Phase 1.,Yes
What are the consequences of not submitting the project proposal by the deadline?,"Failure to submit requires dropping the project; otherwise, an F grade is given.",Yes
How long is a student expected to work weekly for 8 project credits?,8 project credits roughly translate to 8 hours of weekly work.,Yes
What documents must be submitted before the final project evaluation?,The thesis report should be submitted before the final evaluation.,Yes
Can the company guide attend the project evaluation online?,The student and the company guide may attend the evaluation online.,Yes
What grade is assigned to projects?,The project will be given a Pass or Fail grade.,Yes
Are DSBA students allowed to take courses in the summer project term?,No other course credits are allowed in the summer term for DSBA students.,Yes
How many project credits are completed in Phase 2 for the ECE stream?,ECE students must register for 18 credits in Phase 2.,Yes
In which terms can ECE students take Phase 2?,Phase 2 for ECE must be taken in the AUG or JAN term.,Yes
How soon must AI students identify their faculty mentor?,AI students should identify a mentor within 4 weeks of the start of the term.,Yes
Are elective courses recommended in Phase 1 of the AI stream?,Students are encouraged to take electives related to their project in Phase 1.,Yes
What must students check before submitting their thesis?,Students must check their thesis for plagiarism using tools like Turnitin.,Yes
Can confidential information be included in the final public thesis?,Confidential information should not be placed in the thesis.,Yes
Who owns IP if the project is guided only by the company?,Any IP generated under sole company guidance belongs to the company.,Yes
What is the key academic requirement before starting the M.Tech. project?,Students must have completed all core course credits in prior terms before starting their project.,Yes
Who monitors the student's progress during the project from the company side?,The internal guide will be responsible for monitoring the project progress on a regular basis.,Yes
What is the minimum qualification for an internal company guide?,The internal guide must have a Ph.D. degree or a Master’s degree with 5 years of experience.,Yes
Who approves the project goals and work plan?,The faculty mentor will be responsible for approving the project goals and work plan.,Yes
What should a project proposal include?,"The proposal should include motivation, problem statement, technical approach, feasibility, and timeline.",Yes
What is the composition of the mid-term evaluation committee?,"The mid-term evaluation will be conducted by the internal guide, faculty mentor, and one PCC-nominated member.",Yes
How many phases are there in the DSBA stream project?,"DSBA projects are completed over three consecutive terms: Phase 1, 2, and 3.",Yes
How many project credits must DSBA students take in the summer term?,DSBA students must register for 12 project credits in the summer term.,Yes
What is the total project credit requirement for ECE students?,ECE stream students must complete 28 project credits over two phases.,Yes
When should ECE students avoid doing Phase 2?,Phase 2 should not be taken in the summer as 18 project credits are not allowed in summer.,Yes
How many credits are assigned to Phase 1 in the AI stream project?,Phase 1 in the AI stream project consists of 3 project credits.,Yes
What is expected within 4 weeks of starting Phase 1 in AI stream?,Students must finalize the problem statement and mentor within 4 weeks of Phase 1.,Yes
What must be submitted before the drop-without-mention deadline?,These documents must be submitted before the drop-without-mention deadline.,Yes
What document must the internal guide submit before evaluations?,The internal guide must submit a Progress Report before evaluations.,Yes
How is the final evaluation committee different from the mid-term one?,"The final evaluation includes the internal guide, faculty mentor, and two PCC-nominated members.",Yes
Can the student and guide attend evaluations online?,The student and company guide may attend the evaluation online.,Yes
Are letter grades assigned to project credits?,"Projects receive Pass or Fail grades, not letter grades.",Yes
What is required before submitting the project thesis?,Students must check for plagiarism and certify originality before thesis submission.,Yes
Can confidential data be included in the public thesis?,Confidential information should not be placed in the public project thesis.,Yes
How many students can one faculty mentor guide?,One faculty mentor can guide up to 6 students across batches.,Yes
What happens if the faculty mentor goes on sabbatical?,A suitable alternate mentor can be appointed with PCC approval.,Yes
Is publication mandatory for completing the project?,Publications are encouraged but not mandatory.,Yes
Can project work continue with a new internal guide?,An alternate internal guide can be appointed with PCC approval and a new undertaking.,Yes
When should students initiate the IPR agreement process?,The IPR agreement should be initiated one term before project registration.,Yes
Who owns the IP if only the company guides the student?,IP generated under sole company guidance belongs to the company.,Yes
When is the Phase 1 project credit registration deadline for AI & DSBA?,Phase 1 project credit registration for AI & DSBA is due on 07.05.2025.,Yes
How is the Phase 1 project credit registration submitted for AI & DSBA?,Phase 1 credit registration is done via MS Forms shared by IKEN.,Yes
What is the deadline for Phase 1 project proposal and workplan submission for AI & DSBA?,The Phase 1 proposal and workplan for AI & DSBA are due by 30.05.2025.,Yes
When is the Phase 1 project credit registration for ECE?,Phase 1 project credit registration for ECE is on 07.05.2025.,Yes
What is the deadline for Phase 1 project proposal and workplan submission for ECE?,ECE Phase 1 proposal and workplan must be submitted by 14.05.2025.,Yes
What is the last date to drop the project without mention?,Project drop without mention is allowed until 30.05.2025.,Yes
What is the deadline to drop a project with mention?,Project drop with mention is allowed until 13.06.2025.,Yes
When is the midterm evaluation completion deadline for ECE Phase 1 and AI & DSBA Phase 2?,Midterm project evaluation must be completed by 05.07.2025.,Yes
What is the deadline to submit the midterm evaluation signed form?,The midterm signed evaluation form must be submitted by 08.07.2025.,Yes
When is the final report submission deadline for Phase 3 projects in AI & DSBA?,Final Phase report (Turnitin) for AI & DSBA is due on 21.06.2025.,Yes
What platform is used to check the final project report for plagiarism?,Turnitin is used for the final project report submission.,Yes
What is the deadline for completing the final phase project evaluation in AI & DSBA?,Final Phase project evaluation must be completed by 30.06.2025.,Yes
When must the signed final phase evaluation form be submitted?,The signed final evaluation form is due by 02.07.2025.,Yes
